Time,Total Users,Users Active,Finished Users,VMs Created,VMs Failed,VMs Active
3600.53,4,1,3,16,0,4
7201.42,8,2,6,32,0,8
10802.172999999999,11,0,11,44,0,0
14402.3485,12,1,11,48,0,4
18002.8035,20,3,17,80,0,12
21603.113,20,0,20,80,0,0
25203.147,22,0,22,88,0,0
28803.952,24,0,24,96,0,0
32404.652,30,2,28,120,0,8
36005.552,30,0,30,120,0,0
39605.652,35,4,31,140,0,16
43206.059,36,0,36,144,0,0
46806.841,37,0,37,148,0,0
50407.810000000005,38,0,38,152,0,0
54007.893,41,1,40,164,0,4
57607.920000000006,44,1,43,176,0,4
61208.653,48,1,47,192,0,4
64808.662000000004,53,3,50,212,0,12
68408.97,53,0,53,212,0,0
72009.93299999999,54,0,54,216,0,0
75610.033,58,3,55,232,0,12
79210.033,60,1,59,240,0,4
82810.662,63,1,62,252,0,4

