Time,Total Requested PES,Total Requested MIPS,Total Allocated PES,Total Allocated MIPS,Total Hosts Active
3600.53,8,99,1,1000,99.0
7201.42,16,99,4,4000,99.0
10802.172999999999,0,99,0,0,99.0
14402.3485,8,99,4,4000,99.0
18002.8035,24,99,9,9000,99.0
21603.113,0,99,0,0,99.0
25203.147,0,99,0,0,99.0
28803.952,0,99,0,0,99.0
32404.652,16,99,2,2000,99.0
36005.552,0,99,0,0,99.0
39605.652,32,99,4,4000,99.0
43206.059,0,99,0,0,99.0
46806.841,0,99,0,0,99.0
50407.810000000005,0,99,0,0,99.0
54007.893,8,99,1,1000,99.0
57607.920000000006,8,99,1,1000,99.0
61208.653,8,99,1,1000,99.0
64808.662000000004,24,99,2,2000,99.0
68408.97,0,99,0,0,99.0
72009.93299999999,0,99,0,0,99.0
75610.033,24,99,3,3000,99.0
79210.033,8,99,1,1000,99.0
82810.662,8,99,1,1000,99.0

